6121-Centrize
(x,y,z,r)

(1.55364, 0.16583, 1.59118, 2.23006)
(-0.72200, -2.11186, 0.54385, 2.29718)
(-0.74408, -0.20493, -2.16891, 2.30213)
(0.27183, 2.28644, 0.03074, 2.30275)
(-1.92624, 0.30800, 1.22408, 2.30296)
(1.96472, 0.16583, -1.22863, 2.32318)
(0.64060, -2.67325, -1.70820, 3.23645)
(-0.74408, 1.81876, 3.10958, 3.67845)
(-3.28884, 0.74444, -1.80225, 3.82345)
(-1.90416, 3.21277, -1.34165, 3.96834)
(3.24666, 2.28644, 0.33198, 3.98482)
(1.55364, 1.44801, -3.68731, 4.25521)
(-1.90416, -3.62262, -1.34165, 4.30688)
(-2.92007, 2.74509, 1.73718, 4.36808)
(0.64060, -2.54830, 3.57028, 4.43296)
(2.87789, -2.67325, 2.07093, 4.44041)
(0.64060, 4.16214, -1.70820, 4.54442)
(0.27183, -4.54895, 0.03074, 4.55717)
(-4.20188, -1.96969, 0.17675, 4.64400)
(-1.90416, -1.59894, 3.93684, 4.65630)
(-1.92624, 1.30583, -4.05440, 4.67480)
(-2.92007, -1.13126, -3.54120, 4.72722)
(1.96472, 1.44801, 4.04986, 4.72844)
(4.24049, -2.11186, -0.18122, 4.74073)
(-0.72200, 4.72353, 0.54385, 4.80924)
(-3.28884, 0.86939, 3.47613, 4.86372)
(4.26256, -0.20493, 2.53153, 4.96187)
(2.87789, -2.54830, -3.20766, 5.00651)
(0.27183, -0.67260, -5.24774, 5.29765)
(-2.92007, -4.09030, 1.73718, 5.31744)
(0.27183, -0.67260, 5.30923, 5.35856)
(4.26256, 1.81876, -2.74695, 5.38731)
(2.87789, 4.16214, 2.07093, 5.46758)
(5.44473, 0.30800, -0.86146, 5.52105)
(3.24666, -4.54895, 0.33198, 5.59857)
(-5.52612, 0.86939, -0.30290, 5.60229)
(0.64060, 4.28709, 3.57028, 5.61573)
(-0.72200, -3.10969, -4.73464, 5.71037)
(-4.61296, -1.96969, 2.99656, 5.84281)
(-0.74408, -5.01663, 3.10958, 5.94892)
(3.24666, -0.67260, -4.94661, 5.95501)
(-0.72200, 3.72570, -4.73464, 6.06786)
(2.87789, 4.28709, -3.20766, 6.07869)
(-4.61296, -3.25187, -2.28193, 6.08779)
(-4.61296, 3.58352, -2.28193, 6.27122)
(4.24049, 4.72353, -0.18122, 6.35030)
(-4.20188, 4.86570, 0.17675, 6.43134)
(3.24666, -0.67260, 5.61036, 6.51685)
(5.42265, 3.21277, 1.70427, 6.52928)
(-0.72200, -3.10969, 5.82233, 6.64011)
(-5.89489, 2.74509, 1.43605, 6.65940)
(5.42265, -1.59894, -3.57422, 6.68855)
(1.55364, -5.38738, -3.68731, 6.71073)
(5.42265, -3.62262, 1.70427, 6.74040)
(-1.90416, 5.23646, 3.93684, 6.82239)
(-1.92624, 1.30583, 6.50257, 6.90644)
(-1.92624, -6.52739, 1.22408, 6.91488)
(1.96472, 1.44801, -6.50711, 6.94978)
(-0.72200, 3.72570, 5.82233, 6.94994)
(-0.74408, 6.63047, -2.16891, 7.01576)
(1.96472, -5.38738, 4.04986, 7.02035)
(1.55364, -6.66956, 1.59118, 7.03056)
(1.96472, -6.66956, -1.22863, 7.06065)
(-1.90416, -1.59894, -6.62013, 7.07167)
(-1.92624, -5.52956, -4.05440, 7.12212)
(-5.89489, -1.13126, -3.84244, 7.12698)
(5.44473, 1.30583, 4.41703, 7.13164)
(6.43855, 2.74509, -1.37456, 7.13302)
(4.26256, -5.01663, -2.74695, 7.13315)
(-6.91080, -1.59894, -0.76361, 7.13434)
(-3.28884, -6.09095, -1.80225, 7.15292)
(-6.88872, 0.30800, 1.94915, 7.16579)
(6.80732, 0.74444, 2.16498, 7.18199)
(1.55364, 1.44801, 6.86966, 7.19047)
(-5.89489, -4.09030, 1.43605, 7.31728)
(-2.92007, 5.70413, -3.54120, 7.32147)
(4.24049, -3.10969, 5.09726, 7.32352)
(-4.61296, 4.86570, 2.99656, 7.34396)
(1.55364, 7.00122, 1.59118, 7.34593)
(-4.20188, -3.25187, -5.10173, 7.36601)
(1.96472, 7.00122, -1.22863, 7.37473)
(-0.74408, -7.04032, -2.16891, 7.40431)
(0.64060, -2.54830, -6.98669, 7.46445)
(-5.52612, 0.74444, 4.97559, 7.47320)
(-1.92624, 7.14339, 1.22408, 7.49912)
(-4.20188, 3.58352, -5.10173, 7.51832)
(6.80732, 0.86939, -3.11351, 7.53588)
(4.24049, -3.10969, -5.45971, 7.58026)
(4.24049, 3.72570, 5.09726, 7.60557)
(6.43855, -1.13126, 3.90393, 7.61415)
(-4.20188, -3.25187, 5.45524, 7.61512)
(-3.28884, -5.96600, 3.47613, 7.64808)
(-2.92007, -1.13126, 7.01577, 7.68294)
(-0.74408, 1.81876, -7.44740, 7.70229)
(6.43855, -4.09030, -1.37456, 7.75080)
(-6.88872, 1.30583, -3.32933, 7.76171)
(-4.20188, 3.58352, 5.45524, 7.76254)
(4.24049, 3.72570, -5.45971, 7.85309)
(-3.28884, 0.86939, -7.08084, 7.85561)
(-5.52612, 0.74444, -5.58138, 7.88949)
(7.72049, -1.96969, 0.18595, 7.96996)
(0.27183, 6.16279, -5.24774, 8.09893)
(-5.52612, -5.96600, -0.30290, 8.13775)
(0.27183, 6.16279, 5.30923, 8.13891)
(0.64060, 4.28709, -6.98669, 8.22212)
(-8.07088, 1.81876, 0.06366, 8.27352)
(4.26256, 6.63047, 2.53153, 8.27896)
