4911-Centrize
(x,y,z,r)

(-2.69782, -1.13194, 1.19057, 3.15863)
(1.78601, -1.13194, 2.83114, 3.53361)
(3.46903, 1.05388, -0.21466, 3.63193)
(1.78601, -2.36382, -2.44735, 3.84278)
(-4.38059, 2.28576, -1.04197, 5.04975)
(1.78601, 4.47158, -2.44735, 5.40133)
(-2.69782, -2.36382, -4.08792, 5.43847)
(-4.38059, 1.05388, 4.23652, 6.18453)
(-4.38059, -4.54964, -1.04197, 6.40113)
(-2.69782, 5.70345, 1.19057, 6.42067)
(3.46903, 2.28576, 5.06383, 6.54990)
(1.78601, 5.70345, 2.83114, 6.61321)
(-2.69782, 4.47158, -4.08792, 6.63206)
(3.46903, -5.78151, -0.21466, 6.74582)
(3.46903, 2.28576, -5.49314, 6.88720)
(-2.69782, -2.36382, 6.46906, 7.39693)
(3.46903, -4.54964, 5.06383, 7.64040)
(-4.38059, 1.05388, -6.32045, 7.76198)
(3.46903, -4.54964, -5.49314, 7.93145)
(1.78601, -1.13194, -7.72584, 8.00997)
(7.95285, 1.05388, 1.42591, 8.14811)
(-2.69782, 4.47158, 6.46906, 8.31396)
(-4.38059, -5.78151, 4.23652, 8.40021)
(-2.69782, -7.96733, 1.19057, 8.49553)
(3.46903, 7.88927, -0.21466, 8.62095)
(1.78601, -2.36382, 8.10962, 8.63385)
(1.78601, -7.96733, 2.83114, 8.64196)
(7.95285, 2.28576, -3.85258, 9.12770)
(-8.86442, 1.05388, 2.59595, 9.29664)
(1.78601, 4.47158, 8.10962, 9.43137)
(-8.86442, 2.28576, -2.68253, 9.53932)
(-4.38059, -5.78151, -6.32045, 9.62100)
(1.78601, -9.19921, -2.44735, 9.68528)
(1.78601, 5.70345, -7.72584, 9.76769)
(-2.69782, -1.13194, -9.36640, 9.81269)
(9.63563, -1.13194, -1.62004, 9.83622)
(7.95285, -5.78151, 1.42591, 9.93514)
(7.95285, -4.54964, -3.85258, 9.93929)
(-4.38059, 7.88927, 4.23652, 9.96887)
(-4.38059, 9.12115, -1.04197, 10.17205)
(-8.86442, -4.54964, -2.68253, 10.31858)
(-2.69782, -9.19921, -4.08792, 10.42184)
(9.63563, -2.36382, 3.65845, 10.57436)
(7.95285, 2.28576, 6.70439, 10.64995)
(-4.38059, 2.28576, 9.51500, 10.72145)
(-10.54744, -2.36382, 0.36326, 10.81518)
(-8.86442, -5.78151, 2.59595, 10.89691)
(3.46903, 1.05388, 10.34231, 10.95939)
(3.46903, 9.12115, 5.06383, 10.99417)
(-4.38059, 7.88927, -6.32045, 11.01718)
(3.46903, 9.12115, -5.49314, 11.19840)
(9.63563, 4.47158, 3.65845, 11.23497)
(1.78601, -7.96733, -7.72584, 11.24085)
(7.95285, 7.88927, 1.42591, 11.29255)
(-2.69782, 5.70345, -9.36640, 11.29323)
(9.63563, 5.70345, -1.62004, 11.31367)
(7.95285, -4.54964, 6.70439, 11.35323)
(3.46903, 1.05388, -10.77163, 11.36542)
(-4.38059, -4.54964, 9.51500, 11.42033)
(-10.54744, 4.47158, 0.36326, 11.46191)
(-2.69782, -9.19921, 6.46906, 11.56513)
(-10.54744, -1.13194, -4.91523, 11.69142)
(1.78601, 11.30696, -2.44735, 11.70584)
(-8.86442, 1.05388, -7.96102, 11.96104)
(-10.54744, -1.13194, 5.64175, 12.01495)
(-8.86442, 2.28576, 7.87444, 12.07515)
(9.63563, -2.36382, -6.89853, 12.08398)
(-2.69782, -1.13194, 11.74754, 12.10637)
(-8.86442, 7.88927, 2.59595, 12.14732)
(7.95285, 1.05388, -9.13106, 12.15462)
(-4.38059, -11.38503, -1.04197, 12.24312)
(-2.69782, 11.30696, -4.08792, 12.32220)
(3.46903, -5.78151, 10.34231, 12.34599)
(1.78601, -9.19921, 8.10962, 12.39279)
(-2.69782, -7.96733, -9.36640, 12.58912)
(9.63563, -7.96733, -1.62004, 12.60747)
(-4.38059, 2.28576, -11.59894, 12.60752)
(9.63563, 4.47158, -6.89853, 12.66609)
(-8.86442, -4.54964, 7.87444, 12.69976)
(7.95285, 9.12115, -3.85258, 12.69982)
(3.46903, -5.78151, -10.77163, 12.70779)
(-2.69782, 12.53884, 1.19057, 12.88092)
(3.46903, -11.38503, 5.06383, 12.93427)
(-10.54744, 5.70345, -4.91523, 12.95906)
(1.78601, 12.53884, 2.83114, 12.97797)
(-8.86442, 9.12115, -2.68253, 12.99882)
(3.46903, -12.61690, -0.21466, 13.08688)
