4911-Centrize
(x,y,z,r)

(0.00000, 0.00000, 0.00000, 0.00000)
(1.30340, 0.86290, -3.08628, 3.45956)
(1.30340, 2.47674, 2.19220, 3.55511)
(-0.91169, 3.33964, -1.25670, 3.68288)
(-2.21509, 2.47674, 1.82958, 3.79318)
(-0.91169, -3.49576, -1.25670, 3.82502)
(-0.91169, 0.00000, 4.02178, 4.12382)
(-2.21509, 0.86290, -3.44891, 4.18881)
(3.95164, -2.55480, 0.42427, 4.72466)
(1.30340, -4.35866, 2.19220, 5.05000)
(-2.21509, -4.35866, 1.82958, 5.22033)
(-4.86333, -0.94096, -1.68098, 5.23097)
(3.95164, 4.28060, 0.42427, 5.84114)
(5.25504, -0.07806, 2.61648, 5.87090)
(0.00000, 3.33964, 5.27848, 6.24624)
(0.00000, 3.33964, -5.27849, 6.24624)
(6.16672, -0.07806, -1.40531, 6.32530)
(-6.16672, -0.07806, 1.40531, 6.32530)
(3.95164, -0.94096, -4.85421, 6.32963)
(0.00000, -3.49576, 5.27848, 6.33109)
(0.00000, -3.49576, -5.27849, 6.33109)
(-4.86333, -2.55480, 3.59751, 6.56666)
(-0.91169, 0.00000, -6.53519, 6.59847)
(5.25504, -3.41770, -2.66201, 6.81046)
(5.25504, 3.41770, -2.66201, 6.81046)
(0.00000, 6.83539, 0.00000, 6.83539)
(0.00000, -6.83539, 0.00000, 6.83539)
(1.30340, -5.97249, -3.08628, 6.84797)
(3.95164, -0.94096, 5.70276, 7.00159)
(-2.21509, -5.97249, -3.44891, 7.24377)
(-4.86333, 4.28060, 3.59751, 7.41063)
(-2.21509, 0.86290, 7.10807, 7.49505)
(1.30340, 0.86290, 7.47069, 7.63247)
(-4.86333, 5.89443, -1.68098, 7.82444)
(-7.07841, -3.41770, 0.14860, 7.86172)
(-7.07841, 3.41770, 0.14860, 7.86172)
(7.47012, -2.55480, 0.78690, 7.93403)
(-0.91169, -6.83539, 4.02178, 7.98301)
(-0.91169, 6.83539, 4.02178, 7.98301)
(-6.16672, -3.41770, -3.87318, 8.04429)
(-6.16672, 3.41770, -3.87318, 8.04429)
(6.16672, -3.41770, 3.87318, 8.04429)
(6.16672, 3.41770, 3.87318, 8.04429)
(1.30340, 7.69829, -3.08628, 8.39569)
(3.95164, 5.89443, -4.85421, 8.59785)
(7.47012, 4.28060, 0.78690, 8.64554)
(-8.38181, -0.94096, -2.04360, 8.67851)
(-2.21509, 7.69829, -3.44891, 8.72154)
(-7.07841, -0.07806, -5.12988, 8.74218)
(7.47012, -0.94096, -4.49159, 8.76713)
(1.30340, 2.47674, -8.36477, 8.82057)
(-4.86333, -2.55480, -6.95946, 8.86640)
(-7.07841, -0.07806, 5.42709, 8.91983)
(5.25504, 6.75733, 2.61648, 8.95114)
(5.25504, -6.91345, 2.61648, 9.06957)
(3.95164, 5.89443, 5.70276, 9.10391)
(-6.16672, 6.75733, 1.40531, 9.25553)
(6.16672, 6.75733, -1.40531, 9.25553)
(-4.86333, -7.77635, -1.68098, 9.32466)
(-2.21509, 2.47674, -8.72739, 9.33853)
(-8.38181, -2.55480, 3.23488, 9.34057)
(-6.16672, -6.91345, 1.40531, 9.37012)
(6.16672, -6.91345, -1.40531, 9.37012)
(-0.91169, -6.83539, -6.53519, 9.50065)
(-0.91169, 6.83539, -6.53519, 9.50065)
(-4.86333, 4.28060, -6.95946, 9.50839)
(1.30340, -4.35866, -8.36477, 9.52187)
(5.25504, -0.07806, -7.94049, 9.52223)
(-2.21509, -5.97249, 7.10807, 9.54473)
(1.30340, -5.97249, 7.47069, 9.65301)
(1.30340, 9.31213, 2.19220, 9.65507)
(7.47012, -0.94096, 6.06538, 9.66835)
(-6.16672, -3.41770, 6.68379, 9.71505)
(-6.16672, 3.41770, 6.68379, 9.71505)
(6.16672, -3.41770, -6.68379, 9.71505)
(6.16672, 3.41770, -6.68379, 9.71505)
(-2.21509, 9.31213, 1.82958, 9.74524)
(-0.91169, 3.33964, 9.30027, 9.92367)
(-8.38181, 4.28060, 3.23488, 9.95202)
(-0.91169, -3.49576, 9.30027, 9.97730)
(3.95164, -7.77635, -4.85421, 9.98251)
(-2.21509, -4.35866, -8.72739, 10.00359)
(5.25504, -3.41770, 7.89496, 10.08100)
(5.25504, 3.41770, 7.89496, 10.08100)
(-4.86333, -0.94096, 8.87599, 10.16467)
(3.95164, -9.39019, 0.42427, 10.19662)
(-0.91169, 10.17503, -1.25670, 10.29280)
(3.95164, -7.77635, 5.70276, 10.42154)
(-0.91169, -10.33114, -1.25670, 10.44715)
(-8.38181, 5.89443, -2.04360, 10.44870)
(10.11836, 2.47674, -0.98103, 10.46317)
(7.47012, 5.89443, -4.49159, 10.52242)
(0.00000, 0.00000, 10.55697, 10.55697)
(0.00000, 0.00000, -10.55697, 10.55697)
(-2.21509, 7.69829, 7.10807, 10.70957)
(1.30340, 7.69829, 7.47069, 10.80619)
(10.11836, 0.86290, 4.29746, 11.02696)
(6.16672, -0.07806, 9.15166, 11.03574)
(-6.16672, -0.07806, -9.15167, 11.03574)
(-7.07841, 6.75733, -5.12988, 11.04903)
(10.11836, -4.35866, -0.98103, 11.06081)
(-11.03005, 0.86290, -0.27567, 11.06718)
(-7.07841, -6.91345, -5.12988, 11.14520)
(-4.86333, -9.39019, 3.59751, 11.17003)
(3.95164, -2.55480, -10.13270, 11.17202)
(-7.07841, 6.75733, 5.42709, 11.19011)
(7.47012, 5.89443, 6.06538, 11.28432)
(-7.07841, -6.91345, 5.42709, 11.28508)
(-8.38181, -2.55480, -7.32209, 11.41905)
(0.00000, 10.17503, 5.27848, 11.46270)
(0.00000, 10.17503, -5.27849, 11.46270)
(1.30340, -11.19404, 2.19220, 11.48091)
(11.42176, 0.00000, 1.21117, 11.48579)
(-2.21509, -11.19404, 1.82958, 11.55684)
(0.00000, -10.33114, 5.27848, 11.60151)
(0.00000, -10.33114, -5.27849, 11.60151)
(-8.38181, -7.77635, -2.04360, 11.61476)
(5.25504, 6.75733, -7.94049, 11.67597)
(7.47012, -7.77635, -4.49159, 11.68113)
(3.95164, 4.28060, -10.13270, 11.68805)
(-4.86333, 5.89443, 8.87599, 11.71236)
(5.25504, -6.91345, -7.94049, 11.76701)
(3.95164, 11.11598, 0.42427, 11.80511)
(5.25504, -10.25308, -2.66201, 11.82486)
(5.25504, 10.25309, -2.66201, 11.82487)
(-8.38181, 4.28060, -7.32209, 11.92439)
(10.11836, 0.86290, -6.25952, 11.92926)
(3.95164, -2.55480, 10.98124, 11.94697)
(-8.38181, -0.94096, 8.51337, 11.98406)
(7.47012, -9.39019, 0.78690, 12.02487)
(-0.91169, 3.33964, -11.81367, 12.31045)
(-0.91169, -3.49576, -11.81367, 12.35372)
(-11.03005, 2.47674, 5.00281, 12.36221)
(7.47012, -7.77635, 6.06538, 12.37187)
(3.95164, 4.28060, 10.98124, 12.43087)
(-7.07841, -10.25308, 0.14860, 12.46001)
(-7.07841, 10.25309, 0.14860, 12.46001)
(10.11836, -5.97249, 4.29746, 12.51079)
(-11.03005, -5.97249, -0.27567, 12.54626)
(7.47012, -2.55480, -9.77007, 12.56121)
(11.42176, 3.33964, -4.06731, 12.57588)
(-6.16672, -10.25308, -3.87318, 12.57600)
(6.16672, -10.25308, 3.87318, 12.57600)
(-6.16672, 10.25309, -3.87318, 12.57600)
(6.16672, 10.25309, 3.87318, 12.57600)
(0.00000, -6.83539, 10.55697, 12.57665)
(0.00000, 6.83539, 10.55697, 12.57665)
(0.00000, -6.83539, -10.55697, 12.57665)
(0.00000, 6.83539, -10.55697, 12.57665)
(1.30340, 9.31213, -8.36477, 12.58506)
(-11.03005, 2.47674, -5.55416, 12.59543)
(11.42176, -3.49576, -4.06731, 12.61824)
(-12.33345, 0.00000, 2.81061, 12.64964)
(12.33345, 0.00000, -2.81061, 12.64964)
(-4.86333, 11.11598, 3.59751, 12.65540)
(-4.86333, -9.39019, -6.95946, 12.65945)
(-4.86333, -7.77635, 8.87599, 12.76349)
(-2.21509, 2.47674, 12.38655, 12.82449)
(-11.03005, -4.35866, 5.00281, 12.87198)
(6.16672, 6.75733, 9.15166, 12.93997)
(-6.16672, 6.75733, -9.15167, 12.93997)
(-2.21509, 9.31213, -8.72739, 12.95336)
(-8.38181, -9.39019, 3.23488, 12.99595)
(-12.33345, 3.33964, -2.46788, 13.01374)
(12.33345, 3.33964, 2.46788, 13.01374)
(6.16672, -6.91345, 9.15166, 13.02218)
(-6.16672, -6.91345, -9.15167, 13.02218)
(7.47012, 4.28060, -9.77007, 13.02231)
(-7.07841, -3.41770, -10.40837, 13.04295)
(-7.07841, 3.41770, -10.40837, 13.04295)
(1.30340, 2.47674, 12.74917, 13.05275)
(-12.33345, -3.49576, -2.46788, 13.05468)
(12.33345, -3.49576, 2.46788, 13.05468)
(-11.03005, -4.35866, -5.55416, 13.09613)
(-4.86333, -0.94096, -12.23795, 13.20245)
(1.30340, -12.80788, -3.08628, 13.23880)
(-7.07841, -3.41770, 10.70557, 13.28133)
(-7.07841, 3.41770, 10.70557, 13.28133)
(10.11836, -5.97249, -6.25952, 13.31290)
(-2.21509, -4.35866, 12.38655, 13.31657)
(-8.38181, 5.89443, 8.51337, 13.32203)
(11.42176, 6.83539, 1.21117, 13.36585)
(11.42176, -6.83539, 1.21117, 13.36585)
(7.47012, 11.11598, 0.78690, 13.41592)
(10.11836, 7.69829, 4.29746, 13.42062)
(-2.21509, -12.80788, -3.44891, 13.44780)
(-11.03005, 7.69829, -0.27567, 13.45368)
(-6.16672, -0.07806, 11.96227, 13.45848)
(6.16672, -0.07806, -11.96227, 13.45848)
(1.30340, -4.35866, 12.74917, 13.53655)
(11.42176, 3.33964, 6.48966, 13.55453)
(11.42176, -3.49576, 6.48966, 13.59384)
(0.00000, -13.67078, 0.00000, 13.67078)
(0.00000, 13.67078, 0.00000, 13.67078)
(-6.16672, -10.25308, 6.68379, 13.70501)
(6.16672, -10.25308, -6.68379, 13.70501)
(-6.16672, 10.25309, 6.68379, 13.70501)
(6.16672, 10.25309, -6.68379, 13.70501)
(-4.86333, 12.72982, -1.68098, 13.73047)
(1.30340, 0.86290, -13.64325, 13.73251)
(-13.24514, 3.33964, 1.55391, 13.74778)
(-13.24514, 0.00000, -3.72458, 13.75885)
(10.11836, 9.31213, -0.98103, 13.78620)
(-13.24514, -3.49576, 1.55391, 13.78654)
(-0.91169, 10.17503, 9.30027, 13.81511)
(7.47012, -2.55480, 11.34387, 13.82075)
(13.63684, 2.47674, -0.61841, 13.87372)
(-0.91169, -10.33114, 9.30027, 13.93049)
(5.25504, -10.25308, 7.89496, 13.96680)
(5.25504, 10.25309, 7.89496, 13.96680)
(-4.86333, 11.11598, -6.95946, 13.98754)
(1.30340, -11.19404, -8.36477, 14.03477)
(10.11836, 2.47674, 9.57594, 14.14970)
(10.11836, 7.69829, -6.25952, 14.17132)
(5.25504, -0.07806, 13.17344, 14.18313)
(3.95164, 12.72982, -4.85421, 14.18545)
(-2.21509, 0.86290, -14.00588, 14.20619)
(7.47012, 4.28060, 11.34387, 14.24112)
(-8.38181, -7.77635, 8.51337, 14.25496)
(-0.91169, -13.67078, 4.02178, 14.27922)
(-0.91169, 13.67078, 4.02178, 14.27922)
(-8.38181, 11.11598, 3.23488, 14.29281)
(13.63684, -4.35866, -0.61841, 14.32982)
(-2.21509, -11.19404, -8.72739, 14.36595)
(3.95164, -9.39019, -10.13270, 14.36880)
(-12.33345, 6.83539, 2.81061, 14.37832)
(12.33345, 6.83539, -2.81061, 14.37832)
(-12.33345, -6.83539, 2.81061, 14.37832)
(12.33345, -6.83539, -2.81061, 14.37832)
(-4.86333, 5.89443, -12.23795, 14.42788)
(13.63684, 0.86290, 4.66008, 14.43691)
(3.95164, 12.72982, 5.70276, 14.49777)
(-8.38181, -9.39019, -7.32209, 14.56171)
(-12.33345, 0.00000, -7.74636, 14.56434)
(12.33345, 0.00000, 7.74636, 14.56434)
(-14.54853, 0.86290, -0.63830, 14.58807)
(10.11836, -4.35866, 9.57594, 14.59718)
(-0.91169, 0.00000, 14.57875, 14.60723)
(5.25504, -3.41770, -13.21898, 14.63002)
(5.25504, 3.41770, -13.21898, 14.63002)
(11.42176, 0.00000, -9.34580, 14.75806)
(5.25504, 13.59272, 2.61648, 14.80619)
(-2.21509, -12.80788, 7.10807, 14.81462)
(13.63684, 0.86290, -5.89689, 14.88225)
(1.30340, -12.80788, 7.47069, 14.88462)
(-13.24514, 0.00000, 6.83239, 14.90353)
(1.30340, 14.53368, -3.08628, 14.91482)
(5.25504, -13.74884, 2.61648, 14.94965)
(1.30340, -5.97249, -13.64325, 14.95018)
(3.95164, -9.39019, 10.98124, 14.97928)
(-6.16672, 13.59272, 1.40531, 14.99218)
(6.16672, 13.59272, -1.40531, 14.99218)
(-6.16672, 6.75733, 11.96227, 15.05941)
(6.16672, 6.75733, -11.96227, 15.05941)
(-2.21509, 14.53368, -3.44891, 15.10064)
(-11.03005, 0.86290, 10.28130, 15.10336)
(10.11836, -11.19404, -0.98103, 15.12118)
(-12.33345, 3.33964, 8.08909, 15.12285)
(12.33345, 3.33964, -8.08910, 15.12285)
(-6.16672, -6.91345, 11.96227, 15.13011)
(6.16672, -6.91345, -11.96227, 15.13011)
(-6.16672, -13.74884, 1.40531, 15.13387)
(6.16672, -13.74884, -1.40531, 15.13387)
(-12.33345, -3.49576, 8.08909, 15.15809)
(12.33345, -3.49576, -8.08910, 15.15809)
(-8.38181, -0.94096, -12.60057, 15.16293)
(-0.91169, -13.67078, -6.53519, 15.17992)
(-0.91169, 13.67078, -6.53519, 15.17992)
(-4.86333, -2.55480, 14.15448, 15.18315)
(-11.03005, 9.31213, 5.00281, 15.27762)
(-4.86333, -7.77635, -12.23795, 15.29349)
(-13.24514, -6.83539, -3.72458, 15.36322)
(-13.24514, 6.83539, -3.72458, 15.36322)
(-8.38181, 12.72982, -2.04360, 15.37789)
(-2.21509, -5.97249, -14.00588, 15.38642)
(7.47012, 12.72982, -4.49159, 15.42807)
(-11.03005, 9.31213, -5.55416, 15.46694)
(-14.54853, 2.47674, 4.64019, 15.47015)
(7.47012, -9.39019, -9.77007, 15.47361)
(-11.03005, 0.86290, -10.83264, 15.48395)
(-4.86333, -14.61174, -1.68098, 15.49131)
(10.11836, 2.47674, -11.53800, 15.54480)
(3.95164, 11.11598, -10.13270, 15.55159)
(-4.86333, 4.28060, 14.15448, 15.56678)
(13.63684, -5.97249, 4.66008, 15.59970)
(-0.91169, 10.17503, -11.81367, 15.61810)
(-2.21509, 9.31213, 12.38655, 15.65404)
(5.25504, 6.75733, 13.17344, 15.71040)
(1.30340, 7.69829, -13.64325, 15.71944)
(-0.91169, -10.33114, -11.81367, 15.72026)
(-8.38181, 11.11598, -7.32209, 15.73000)
(-14.54853, -5.97249, -0.63830, 15.73969)
(5.25504, -6.91345, 13.17344, 15.77818)
(11.42176, 10.17503, -4.06731, 15.82816)
(1.30340, 9.31213, 12.74917, 15.84159)
(-14.54853, -4.35866, 4.64019, 15.88046)
(3.95164, -14.61174, -4.85421, 15.89597)
(-14.54853, 2.47674, -5.91678, 15.89976)
(11.42176, -10.33114, -4.06731, 15.92897)
(3.95164, -0.94096, -15.41118, 15.93754)
(10.11836, -4.35866, -11.53800, 15.95320)
(7.47012, 12.72982, 6.06538, 15.95744)
(13.63684, -5.97249, -5.89689, 16.01273)
(-6.16672, -3.41770, -14.43015, 16.06046)
(-6.16672, 3.41770, -14.43015, 16.06046)
(6.16672, -3.41770, 14.43015, 16.06046)
(6.16672, 3.41770, 14.43015, 16.06046)
(12.33345, 6.83539, 7.74636, 16.08858)
(-12.33345, -6.83539, -7.74636, 16.08858)
(-12.33345, 6.83539, -7.74636, 16.08858)
(12.33345, -6.83539, 7.74636, 16.08858)
(3.95164, 11.11598, 10.98124, 16.11733)
